017
num-fields|53
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
timestamp|timestamp
collage_file|string
image_id|guid
31|746|2|22|20|664|927|127|1|1|0|9.25|4.5|0|0.0|0.0|0.0|40.0|15.0|7.0|11.1111|35.5563|31.7902|15.0859|5.4961|855.625|33.0063|97.125|32.375|61.1527|36.9022|328.8958|252.4343|181.475|34.7606|7259.0|2.0121|4.0759|1.3029|192.3226|14.344|0.5727|0.1364|0.4939|0.0|52.5|50.0|1069.5312|-45.0|30.0|2023-05-22T12:46:36.654|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|1D3FDF83-2A00-40DE-B406-4F35D788480B
32|770|2|23|25|1024|1895|113|1|1|0|9.25|4.5|0|0.0|0.0|0.0|149.0|18.0|11.0|15.0|46.6274|44.1207|17.8011|10.6918|5779.2599|85.781|124.875|60.125|97.125|85.781|431.3034|366.4915|170.1275|43.1663|25349.0|1.1611|1.0|1.1768|109.625|12.782|0.7418|0.8866|0.8799|0.0|136.5|149.0|5779.2599|-80.0|15.0|2023-05-22T12:46:35.091|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|C5F64244-9249-4A58-8FA2-995267D47F01
33|795|2|20|22|654|400|111|1|1|0|9.25|4.5|0|0.0|0.0|0.0|98.0|13.0|10.0|11.8056|34.7279|33.6896|11.7463|10.6426|2990.0262|61.7011|78.625|50.875|67.5768|61.7011|321.2331|270.0038|148.8571|33.4041|14588.0|1.0|1.0|1.1897|162.5484|12.547|0.9167|0.8983|0.9933|0.0|85.0|98.0|2990.0262|-55.0|0.0|2023-05-22T12:46:34.866|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|282A5A13-6823-4189-BA0F-A21C9F103BDF
34|817|2|20|35|901|437|127|1|1|0|9.25|4.5|0|0.0|0.0|0.0|81.0|27.0|8.0|18.2222|60.6274|53.8445|26.6601|6.1685|2149.3242|52.3126|208.125|37.0|126.9304|54.0363|560.8034|456.4366|230.321|33.6506|18656.0|3.4822|8.8262|1.2287|85.4444|14.344|0.3102|0.4998|0.2857|0.0|108.0|84.0|2293.3041|75.0|-25.0|2023-05-22T12:46:36.654|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|19A81219-FEAF-425A-B65B-D5421ADD6746
35|839|2|16|38|88|1312|123|1|1|0|9.25|4.5|0|0.0|0.0|0.0|73.0|29.0|5.0|19.2222|60.1421|57.1614|28.7901|3.7711|1776.0189|47.5531|226.625|23.125|136.1804|47.5531|556.3144|487.118|187.9452|25.6317|13720.0|3.943|10.2901|1.1421|120.7143|13.907|0.2405|0.4987|0.2205|0.0|76.0|73.0|1776.0189|-80.0|5.0|2023-05-22T12:46:36.212|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|01E2F4CB-B4BA-46E4-A21E-7D42EA1D8BC3
36|857|2|17|30|761|800|61|1|1|0|9.25|4.5|0|0.0|0.0|0.0|81.0|20.0|7.0|14.6667|46.3848|42.9099|21.0663|5.3352|2149.3242|52.3126|143.375|32.375|94.042|52.3126|429.0594|355.2916|208.5309|9.9258|16891.0|2.1138|4.414|1.2076|64.5122|6.953|0.4685|0.6623|0.4368|0.0|81.5|81.0|2149.3242|-90.0|0.0|2023-05-22T12:46:29.262|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|06D5455D-4A26-4394-BF7B-01AD9B9F8AC4
37|876|2|23|22|378|1633|18|1|1|0|9.25|4.5|0|0.0|0.0|0.0|75.0|15.0|11.0|12.9444|60.5269|37.8596|13.945|9.7589|1867.8088|48.7665|97.125|60.125|78.1107|50.5566|559.8738|308.5763|188.2133|32.8858|14116.0|3.7376|9.6383|1.8144|99.2745|2.125|0.6458|0.653|0.6856|0.0|97.5|78.0|2007.4515|25.0|-85.0|2023-05-22T12:46:24.443|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|D8C4CF79-5398-4240-BE2E-B1840044EAED
38|901|2|23|27|631|840|110|1|1|0|9.25|4.5|0|0.0|0.0|0.0|158.0|17.0|13.0|15.0556|46.0416|44.0883|16.1154|12.5864|6301.4227|89.5724|115.625|78.625|97.6393|89.5724|425.8848|366.1918|149.462|56.6226|23615.0|1.0677|1.0|1.163|113.8462|12.438|0.8473|0.8103|0.9623|0.0|145.0|158.0|6301.4227|-90.0|0.0|2023-05-22T12:46:34.753|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|2C7FBE60-1546-4D8D-B8C2-EC10D85F86D2
39|926|2|22|23|1000|231|54|1|1|0|9.25|4.5|0|0.0|0.0|0.0|85.0|15.0|9.0|12.3611|41.799|35.4761|15.0|8.2799|2341.746|54.6041|97.125|41.625|72.7152|55.1685|386.6407|286.5289|149.6471|51.8504|12720.0|1.6167|2.7099|1.3494|165.5556|6.172|0.6207|0.927|0.746|0.0|88.5|86.0|2390.4057|-70.0|45.0|2023-05-22T12:46:28.477|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|48354CF0-8EA1-4E87-BB8D-1F0675A56A29
40|950|2|25|28|419|1086|119|1|1|0|9.25|4.5|0|0.0|0.0|0.0|193.0|19.0|14.0|16.6111|51.4558|49.0845|18.014|13.7466|8393.4752|103.3775|134.125|87.875|112.0277|103.3775|475.9662|412.4066|122.2746|54.3083|23599.0|1.0917|1.0|1.1541|119.5682|13.453|0.8323|0.8106|0.9572|0.0|180.0|193.0|8393.4752|60.0|-30.0|2023-05-22T12:46:35.761|MicrobialMethane_MESO_Tank10_54.0143_-2.7770_04052023_1_images_000001.tif|EB9BA1B9-9EA1-40DB-B123-D9ABA6B96C50
